iso3,country,region,subregion,disaggregation,disagg.value,section,Fruit,Vegetables,Legumes,Nuts,Whole grains,Fish,Dairy,Red meat
TON,Tonga,Oceania,Polynesia,location,National,Dietary needs,130.4,139.4,39.2,3.3,11.9,50.6,106.8,30.7
TTO,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,68.5,86.5,37.6,9.5,28,25.3,204.6,72.8
TUN,Tunisia,Africa,Northern Africa,location,National,Dietary needs,64,198,15.2,6.5,1.5,38.3,279.1,41.7
TUR,Turkey,Asia,Western Asia,location,National,Dietary needs,79.8,112.9,31.3,11.1,2.6,6.2,660.3,45
TUV,Tuvalu,Oceania,Polynesia,location,National,Dietary needs,,,,,,,,
TZA,United Republic of Tanzania,Africa,Eastern Africa,location,National,Dietary needs,65.8,169.3,33.9,16.4,135.4,26.6,54,27.1
UGA,Uganda,Africa,Eastern Africa,location,National,Dietary needs,55.6,110.7,45.2,7.7,27.3,11.6,65.6,10.9
UKR,Ukraine,Europe,Eastern Europe,location,National,Dietary needs,94.1,183.4,8.9,12.8,67,31.6,539.7,39
URY,Uruguay,Latin America and the Caribbean,South America,location,National,Dietary needs,97,162.7,45,25.5,37.9,23.9,318.1,79.9
USA,United States of America,North America,Northern America,location,National,Dietary needs,86.8,128.6,19.5,11.5,19.6,11.2,513,35.7
UZB,Uzbekistan,Asia,Central Asia,location,National,Dietary needs,83.6,214.7,33.4,3.2,52.4,47.4,589,107
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,143.5,104.3,46.3,6.2,20,31.9,257.5,49
VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,location,National,Dietary needs,108.1,91,39.5,0.8,28,11.1,325.1,57.8
VNM,Viet Nam,Asia,South-eastern Asia,location,National,Dietary needs,82.6,177.1,99.5,21.1,26.3,61.1,68.1,51.8
VUT,Vanuatu,Oceania,Melanesia,location,National,Dietary needs,41.3,71.4,67.3,3.9,24.3,41.3,88.1,43.7
WSM,Samoa,Oceania,Polynesia,location,National,Dietary needs,140.3,336.4,231.1,26.1,10.6,44.4,176.8,27.4
YEM,Yemen,Asia,Western Asia,location,National,Dietary needs,39.3,58.5,28.9,3.4,20.3,10.8,200.1,22.9
ZAF,South Africa,Africa,Southern Africa,location,National,Dietary needs,32.7,131.8,32.3,0.2,68.6,5,133.9,148.6
ZMB,Zambia,Africa,Eastern Africa,location,National,Dietary needs,51.2,195.8,20.6,19.7,55.7,43.9,42.5,41.2
ZWE,Zimbabwe,Africa,Eastern Africa,location,National,Dietary needs,83.4,141.2,18.9,3.1,152.4,18.6,97.8,27.1
